Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat
BMW,5 Series,2015,Sedan,180236.0,2000.0,Diesel,21500.0,25748.0,Automatic,Medium
Honda,CR-V,2010,Crossover,183000.0,2200.0,Diesel,12999.0,15250.0,Manual,Medium
Nissan,Note,2011,Hatchback,195000.0,1500.0,Diesel,5250.0,17727.272727272728,Manual,Medium
Volkswagen,Passat,1993,Universal,311254.0,2000.0,Metan/Propan,29000.0,10732.896551724138,Manual,Medium
Opel,Astra,2010,Hatchback,190000.0,1300.0,Diesel,6500.0,15833.333333333334,Manual,Medium
Skoda,Rapid,2016,Universal,116000.0,1598.0,Petrol,10300.0,19333.333333333332,Automatic,Medium
Volkswagen,Sharan,2006,Minivan,250000.0,2000.0,Diesel,6900.0,15625.0,Manual,Medium
Nissan,Qashqai,2015,Crossover,149000.0,1200.0,Petrol,12500.0,21285.714285714286,Automatic,Medium
Skoda,Superb,2016,Sedan,170000.0,2000.0,Diesel,17490.0,28333.333333333332,Automatic,Medium
Toyota,Land Cruiser,2001,SUV,250000.0,4700.0,Metan/Propan,9990.0,11904.761904761905,Automatic,Medium
Toyota,Corolla,2006,Universal,256000.0,1400.0,Diesel,5490.0,16000.0,Manual,Medium
Mazda,Tribute,2002,SUV,255000.0,2000.0,Petrol,3990.0,12750.0,Manual,Medium
Chevrolet,Volt,2011,Hatchback,190000.0,1400.0,Plug-in Hybrid,9150.0,17272.727272727272,Automatic,Medium
Mercedes,GLE Coupe,2019,Crossover,24000.0,3000.0,Petrol,51000.0,8000.0,Automatic,Small
Volkswagen,Passat,2002,Universal,270000.0,1800.0,Petrol,2550.0,13500.0,Manual,Medium
Volkswagen,Touareg,2010,SUV,235000.0,3000.0,Diesel,20950.0,19583.333333333332,Automatic,Medium
BMW,5 Series,2000,Sedan,254604.0,2500.0,Petrol,4500.0,11572.90909090909,Manual,Medium
Renault,Megane,2009,Universal,165000.0,1500.0,Diesel,4999.0,12692.307692307691,Manual,Medium
Toyota,C-HR,2017,Crossover,115000.0,1800.0,Hybrid,17999.0,23000.0,Automatic,Medium
BMW,7 Series,1998,Sedan,350000.0,3500.0,Petrol,3990.0,14583.333333333334,Manual,Medium
Mercedes,E Class,2012,Sedan,150000.0,2500.0,Diesel,14490.0,15000.0,Automatic,Medium
